Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 94000  Y 248000
X 102000  Y 248000
X 86000  Y 248000
X 102000  Y 224000
X 96000  Y 224000
X 83200  Y 221200
X 98000  Y 218000
X 100000  Y 12000
X 92000  Y 12000
X 122000  Y 136000
X 126000  Y 142000
X 122000  Y 148000
X 118000  Y 218000
X 112000  Y 218000
X 106000  Y 218000
X 124000  Y 218000
X 114000  Y 224000
X 108000  Y 224000
X 120000  Y 224000
X 126000  Y 224000
X 122000  Y 250000
X 128000  Y 266000
X 108000  Y 270000
X 118000  Y 270000
X 128000  Y 274000
X 118000  Y 278000
X 108000  Y 278000
X 128000  Y 282000
X 118000  Y 286000
X 108000  Y 286000
X 128000  Y 290000
X 108000  Y 294000
X 118000  Y 294000
X 128000  Y 298000
X 108000  Y 302000
X 117200  Y 304000
X 128000  Y 306000
X 108000  Y 310000
X 117200  Y 312000
X 128000  Y 314000
X 108000  Y 318000
X 128000  Y 322000
X 118000  Y 324000
X 108000  Y 328000
X 128000  Y 330000
X 118000  Y 372000
X 106000  Y 380000
X 109000  Y 410500
X 128000  Y 419500
X 124000  Y 428000
X 124000  Y 436000
X 120000  Y 484000
X 112000  Y 484000
X 104000  Y 484000
X 128000  Y 484000
X 112000  Y 492000
X 104000  Y 492000
X 120000  Y 492000
X 128000  Y 492000
X 104000  Y 500000
X 112000  Y 500000
X 120000  Y 500000
X 128000  Y 500000
X 114000  Y 506000
X 106000  Y 506000
X 122000  Y 506000
X 130000  Y 506000
X 138000  Y 506000
X 146000  Y 506000
X 136000  Y 500000
X 144000  Y 500000
X 152000  Y 500000
X 152000  Y 492000
X 144000  Y 492000
X 136000  Y 492000
X 152000  Y 484000
X 144000  Y 484000
X 136000  Y 484000
X 142000  Y 474000
X 144000  Y 464000
X 132000  Y 436000
X 132000  Y 428000
X 139500  Y 410000
X 147500  Y 410000
X 147100  Y 390200
X 147100  Y 384700
X 146000  Y 372000
X 138000  Y 330000
X 148000  Y 328000
X 138000  Y 322000
X 138000  Y 314000
X 138000  Y 306000
X 138000  Y 298000
X 138000  Y 290000
X 138000  Y 282000
X 132000  Y 224000
X 152000  Y 224000
X 130000  Y 218000
X 130000  Y 148000
X 130000  Y 136000
X 148000  Y 76000
X 140400  Y 72800
X 148000  Y 68000
X 140400  Y 64800
X 148000  Y 60000
X 148000  Y 52000
X 160000  Y 12000
X 160000  Y 20000
X 160000  Y 28000
X 176000  Y 36000
X 168000  Y 36000
X 160000  Y 36000
X 164000  Y 52000
X 156000  Y 52000
X 160000  Y 64000
X 168000  Y 64000
X 160000  Y 72000
X 168000  Y 72000
X 160000  Y 80000
X 168000  Y 80000
X 160000  Y 88000
X 160000  Y 96000
X 154000  Y 328000
X 168000  Y 328000
X 160000  Y 374000
X 160000  Y 390000
X 154000  Y 390000
X 178000  Y 394000
X 178500  Y 399500
X 178500  Y 404500
X 169000  Y 410000
X 155500  Y 410000
X 162500  Y 410000
X 178500  Y 412000
X 176000  Y 436000
X 172000  Y 444000
X 176000  Y 452000
X 176000  Y 460000
X 176000  Y 468000
X 176000  Y 476000
X 168000  Y 484000
X 160000  Y 484000
X 160000  Y 492000
X 168000  Y 492000
X 160000  Y 500000
X 168000  Y 500000
X 176000  Y 500000
X 154000  Y 506000
X 162000  Y 506000
X 170000  Y 506000
X 178000  Y 506000
X 186000  Y 506000
X 202000  Y 506000
X 184000  Y 500000
X 200000  Y 500000
X 192000  Y 492000
X 200000  Y 492000
X 200000  Y 484000
X 192000  Y 484000
X 184000  Y 476000
X 200000  Y 476000
X 192000  Y 476000
X 200000  Y 468000
X 192000  Y 468000
X 184000  Y 468000
X 200000  Y 460000
X 192000  Y 460000
X 184000  Y 460000
X 184000  Y 452000
X 192000  Y 452000
X 200000  Y 452000
X 180000  Y 444000
X 188000  Y 444000
X 196000  Y 444000
X 200000  Y 436000
X 192000  Y 436000
X 184000  Y 436000
X 196000  Y 428000
X 188000  Y 428000
X 180000  Y 428000
X 200000  Y 420000
X 192000  Y 420000
X 184000  Y 420000
X 189500  Y 404000
X 195000  Y 403500
X 189000  Y 398500
X 195000  Y 398500
X 196500  Y 393000
X 184000  Y 324000
X 192000  Y 292000
X 192000  Y 274000
X 192000  Y 260000
X 192000  Y 254000
X 192000  Y 248000
X 192000  Y 242000
X 192000  Y 236000
X 192000  Y 230000
X 192000  Y 224000
X 191900  Y 137200
X 200000  Y 137200
X 196400  Y 132700
X 200400  Y 128700
X 192400  Y 128700
X 196000  Y 80000
X 196000  Y 64000
X 184000  Y 36000
X 192000  Y 36000
X 200000  Y 36000
X 192000  Y 28000
X 200000  Y 28000
X 200000  Y 20000
X 192000  Y 20000
X 208000  Y 20000
X 224000  Y 20000
X 216000  Y 20000
X 208000  Y 28000
X 216000  Y 28000
X 220000  Y 60000
X 210000  Y 226000
X 224400  Y 228800
X 210000  Y 236000
X 224400  Y 236800
X 210000  Y 244000
X 224400  Y 244800
X 210000  Y 250000
X 224400  Y 252800
X 210000  Y 258000
X 224400  Y 260800
X 216000  Y 420000
X 208000  Y 420000
X 224000  Y 420000
X 220000  Y 428000
X 212000  Y 428000
X 204000  Y 428000
X 228000  Y 428000
X 216000  Y 436000
X 208000  Y 436000
X 224000  Y 436000
X 212000  Y 444000
X 220000  Y 444000
X 228000  Y 444000
X 204000  Y 444000
X 216000  Y 452000
X 224000  Y 452000
X 208000  Y 452000
X 216000  Y 460000
X 208000  Y 460000
X 224000  Y 460000
X 216000  Y 468000
X 208000  Y 468000
X 224000  Y 468000
X 216000  Y 476000
X 208000  Y 476000
X 224000  Y 476000
X 216000  Y 484000
X 208000  Y 484000
X 224000  Y 484000
X 216000  Y 492000
X 208000  Y 492000
X 224000  Y 492000
X 208000  Y 500000
X 216000  Y 500000
X 224000  Y 500000
X 210000  Y 506000
X 218000  Y 506000
X 226000  Y 506000
X 234000  Y 506000
X 242000  Y 506000
X 250000  Y 506000
X 240000  Y 500000
X 232000  Y 500000
X 248000  Y 500000
X 240000  Y 492000
X 232000  Y 492000
X 248000  Y 492000
X 240000  Y 484000
X 232000  Y 484000
X 248000  Y 484000
X 240000  Y 476000
X 232000  Y 476000
X 248000  Y 476000
X 240000  Y 468000
X 232000  Y 468000
X 248000  Y 468000
X 240000  Y 460000
X 232000  Y 460000
X 248000  Y 460000
X 232000  Y 452000
X 240000  Y 452000
X 248000  Y 452000
X 236000  Y 444000
X 244000  Y 444000
X 252000  Y 444000
X 240000  Y 436000
X 232000  Y 436000
X 248000  Y 436000
X 252000  Y 428000
X 244000  Y 428000
X 236000  Y 428000
X 248000  Y 420000
X 240000  Y 420000
X 232000  Y 420000
X 242000  Y 330000
X 230000  Y 326000
X 236000  Y 326000
X 242000  Y 324000
X 248000  Y 274000
X 240000  Y 274000
X 232000  Y 274000
X 230000  Y 260000
X 246000  Y 260000
X 238000  Y 260000
X 234000  Y 254000
X 242000  Y 254000
X 250000  Y 254000
X 238000  Y 248000
X 246000  Y 248000
X 230000  Y 248000
X 250000  Y 242000
X 242000  Y 242000
X 234000  Y 242000
X 238000  Y 236000
X 230000  Y 236000
X 234000  Y 230000
X 232000  Y 64000
X 232000  Y 56000
X 232000  Y 48000
X 232000  Y 40000
X 264000  Y 44000
X 264000  Y 52000
X 256000  Y 52000
X 260000  Y 60000
X 268000  Y 64000
X 278000  Y 248000
X 270000  Y 248000
X 262000  Y 248000
X 254000  Y 248000
X 258000  Y 254000
X 274000  Y 254000
X 266000  Y 254000
X 254000  Y 260000
X 278000  Y 260000
X 270000  Y 260000
X 262000  Y 260000
X 272000  Y 274000
X 256000  Y 274000
X 264000  Y 274000
X 270000  Y 324000
X 262000  Y 324000
X 274000  Y 330000
X 266000  Y 330000
X 258000  Y 332000
X 264000  Y 420000
X 256000  Y 420000
X 272000  Y 420000
X 268000  Y 428000
X 260000  Y 428000
X 276000  Y 428000
X 256000  Y 436000
X 264000  Y 436000
X 272000  Y 436000
X 268000  Y 444000
X 276000  Y 444000
X 260000  Y 444000
X 264000  Y 452000
X 256000  Y 452000
X 272000  Y 452000
X 264000  Y 460000
X 256000  Y 460000
X 272000  Y 460000
X 264000  Y 468000
X 256000  Y 468000
X 272000  Y 468000
X 264000  Y 476000
X 256000  Y 476000
X 272000  Y 476000
X 264000  Y 484000
X 256000  Y 484000
X 272000  Y 484000
X 264000  Y 492000
X 256000  Y 492000
X 272000  Y 492000
X 272000  Y 500000
X 264000  Y 500000
X 256000  Y 500000
X 258000  Y 506000
X 266000  Y 506000
X 274000  Y 506000
X 282000  Y 506000
X 290000  Y 506000
X 280000  Y 500000
X 280000  Y 492000
X 288000  Y 492000
X 280000  Y 484000
X 296000  Y 484000
X 288000  Y 484000
X 280000  Y 476000
X 296000  Y 476000
X 288000  Y 476000
X 280000  Y 468000
X 296000  Y 468000
X 288000  Y 468000
X 280000  Y 460000
X 296000  Y 460000
X 288000  Y 460000
X 288000  Y 452000
X 296000  Y 452000
X 280000  Y 452000
X 284000  Y 444000
X 300000  Y 444000
