"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R3","0603R","30.024mm","74.549mm","30.024mm","74.549mm","30.8495mm","74.549mm","T","180.00","2K/1%"
"R6","0603R","32.639mm","73.787mm","32.639mm","73.787mm","32.639mm","72.9615mm","T","90.00","1.2K/1%"
"R18","0603R","44.629mm","48.954mm","44.629mm","48.954mm","44.629mm","48.1285mm","T","90.00","10K"
"R12","0603R","82.475mm","74.549mm","82.475mm","74.549mm","82.475mm","73.7235mm","T","90.00","100R"
"R19","0603R","48.947mm","52.637mm","48.947mm","52.637mm","49.7725mm","52.637mm","T","180.00","10K"
"R20","0603R","45.391mm","52.637mm","45.391mm","52.637mm","44.5655mm","52.637mm","T","360.00","10K"
"R21","0603R","51.995mm","53.653mm","51.995mm","53.653mm","51.995mm","52.8275mm","T","90.00","10K"
"R27","0603R","48.947mm","54.542mm","48.947mm","54.542mm","48.1215mm","54.542mm","T","360.00","1kR"
"R36","1206R","107.9385mm","99.695mm","107.9395mm","101.4814mm","107.9385mm","101.473mm","T","270.00","1M"
"R38","0603R","117.654mm","74.168mm","117.654mm","74.168mm","117.654mm","73.3425mm","T","90.00","2k"
"R39","1206R","120.067mm","98.171mm","121.8534mm","98.17mm","121.845mm","98.171mm","T","180.00","120R"
"R41","0603R","115.876mm","74.168mm","115.876mm","74.168mm","115.876mm","73.3425mm","T","90.00","2k"
"R37","0603R","64.187mm","97.917mm","64.187mm","97.917mm","65.0125mm","97.917mm","T","180.00","10R"
"R40","0603R","68.251mm","90.932mm","68.251mm","90.932mm","68.251mm","90.1065mm","T","90.00","0R"
"R42","0603R","68.378mm","85.979mm","68.378mm","85.979mm","68.378mm","85.1535mm","T","90.00","0R"
"R48","0603R","114.733mm","51.308mm","114.733mm","51.308mm","114.733mm","50.4825mm","T","90.00","10K"
"R49","0603R","112.268mm","49.403mm","112.268mm","49.403mm","113.0935mm","49.403mm","T","180.00","10K"
"R47","0603R","114.733mm","54.61mm","114.733mm","54.61mm","114.733mm","55.4355mm","T","270.00","10K"
"R46","1206R","128.576mm","100.076mm","128.575mm","98.2896mm","128.576mm","98.298mm","T","90.00","1M"
"R16","0603R","110.236mm","67.437mm","110.236mm","67.437mm","109.4105mm","67.437mm","T","360.00","10K"
"R50","0603R","103.557mm","54.864mm","103.557mm","54.864mm","103.557mm","55.6895mm","T","270.00","10K"
"R15","0603R","118.872mm","54.356mm","118.872mm","54.356mm","118.872mm","53.5305mm","T","90.00","10K"
"R52","0603R","107.367mm","57.15mm","107.367mm","57.15mm","108.1925mm","57.15mm","T","180.00","10K"
"R43","0603R","66.346mm","90.932mm","66.346mm","90.932mm","66.346mm","90.1065mm","T","90.00","0R"
"R54","0603R","103.557mm","51.435mm","103.557mm","51.435mm","103.557mm","50.6095mm","T","90.00","10K"
"R44","0603R","66.346mm","85.979mm","66.346mm","85.979mm","66.346mm","85.1535mm","T","90.00","0R"
"R45","0603R","69.394mm","97.917mm","69.394mm","97.917mm","68.5685mm","97.917mm","T","360.00","10R"
"R51","0603R","138.101mm","74.041mm","138.101mm","74.041mm","138.101mm","73.2155mm","T","90.00","2k"
"R53","1206R","140.895mm","98.298mm","142.6814mm","98.297mm","142.673mm","98.298mm","T","180.00","120R"
"R56","0603R","136.196mm","74.041mm","136.196mm","74.041mm","136.196mm","73.2155mm","T","90.00","2k"
"R29","0603R","105.335mm","61.722mm","105.335mm","61.722mm","105.335mm","60.8965mm","T","90.00","10K"
"R22","0603R","90.551mm","74.803mm","90.551mm","74.803mm","91.3765mm","74.803mm","T","180.00","2K"
"R23","0603R","90.551mm","72.009mm","90.551mm","72.009mm","91.3765mm","72.009mm","T","180.00","2K"
"R24","0603R","100.636mm","97.282mm","100.636mm","97.282mm","101.4615mm","97.282mm","T","180.00","10R"
"R33","0603R","107.621mm","61.722mm","107.621mm","61.722mm","107.621mm","60.8965mm","T","90.00","10K"
"R28","0603R","97.334mm","97.282mm","97.334mm","97.282mm","98.1595mm","97.282mm","T","180.00","10R"
"R32","0603R","101.271mm","74.676mm","101.271mm","74.676mm","101.271mm","73.8505mm","T","90.00","100R"
"R34","0603R","99.366mm","74.676mm","99.366mm","74.676mm","99.366mm","73.8505mm","T","90.00","100R"
"R35","0603R","94.032mm","97.282mm","94.032mm","97.282mm","94.8575mm","97.282mm","T","180.00","10R"
"R59","0603R","118.872mm","58.42mm","118.872mm","58.42mm","118.872mm","59.2455mm","T","270.00","10K"
"R55","0603R","39.041mm","61.849mm","39.041mm","61.849mm","39.041mm","61.0235mm","T","90.00","2K"
"R57","0603R","46.788mm","63.5mm","46.788mm","63.5mm","46.788mm","62.6745mm","T","90.00","3.3k1%"
"R58","0603R","46.788mm","59.944mm","46.788mm","59.944mm","46.788mm","59.1185mm","T","90.00","10k1%"
"R66","0603R","62.738mm","30.226mm","62.738mm","30.226mm","63.5635mm","30.226mm","T","180.00","10K"
"R71","0603R","62.992mm","11.176mm","62.992mm","11.176mm","62.1665mm","11.176mm","T","360.00","10K"
"R60","0603R","6.731mm","37.592mm","6.731mm","37.592mm","7.5565mm","37.592mm","T","180.00","10K"
"R113","0603R","85.471mm","30.226mm","85.471mm","30.226mm","86.2965mm","30.226mm","T","180.00","10K"
"R117","0603R","85.598mm","11.176mm","85.598mm","11.176mm","84.7725mm","11.176mm","T","360.00","10K"
"R90","0603R","80.01mm","11.049mm","80.01mm","11.049mm","79.1845mm","11.049mm","T","360.00","10K"
"R92","0603R","79.756mm","30.226mm","79.756mm","30.226mm","80.5815mm","30.226mm","T","180.00","10K"
"R77","0603R","14.276mm","36.449mm","14.276mm","36.449mm","14.276mm","37.2745mm","T","270.00","5.1K"
"R83","0603R","10.847mm","32.512mm","10.847mm","32.512mm","11.6725mm","32.512mm","T","180.00","4.7K"
"R89","0603R","74.041mm","11.049mm","74.041mm","11.049mm","73.2155mm","11.049mm","T","360.00","10K"
"R91","0603R","73.914mm","30.226mm","73.914mm","30.226mm","74.7395mm","30.226mm","T","180.00","10K"
"R67","0603R","68.326mm","30.226mm","68.326mm","30.226mm","69.1515mm","30.226mm","T","180.00","10K"
"R72","0603R","68.326mm","11.176mm","68.326mm","11.176mm","67.5005mm","11.176mm","T","360.00","10K"
"R64","R1-1","149.7965mm","19.685mm","156.464mm","19.685mm","156.464mm","19.685mm","T","180.00","1K/1W"
"R65","0603R","132.334mm","40.767mm","132.334mm","40.767mm","133.1595mm","40.767mm","T","180.00","200R/1%"
"R68","0603R","152.019mm","45.847mm","152.019mm","45.847mm","152.8445mm","45.847mm","T","180.00","33K/1%"
"R69","0603R","148.463mm","45.847mm","148.463mm","45.847mm","149.2885mm","45.847mm","T","180.00","33K/1%"
"R70","0603R","148.463mm","42.164mm","148.463mm","42.164mm","149.2885mm","42.164mm","T","180.00","31K6/1%"
"R76","0603R","110.49mm","43.18mm","110.49mm","43.18mm","110.49mm","42.3545mm","T","90.00","100k/1%"
"R81","0603R","148.463mm","44.069mm","148.463mm","44.069mm","149.2885mm","44.069mm","T","180.00","33K/1%"
"R86","0603R","112.522mm","39.243mm","112.522mm","39.243mm","112.522mm","40.0685mm","T","270.00","10K/1%"
"R88","0603R","110.49mm","39.243mm","110.49mm","39.243mm","110.49mm","38.4175mm","T","90.00","20K/1%"
"R130","0603R","92.71mm","13.589mm","92.71mm","13.589mm","91.8845mm","13.589mm","T","360.00","5.1K"
"R135","0603R","91.186mm","35.052mm","91.186mm","35.052mm","90.3605mm","35.052mm","T","360.00","10k"
"R96","0603R","28.829mm","37.592mm","28.829mm","37.592mm","29.6545mm","37.592mm","T","180.00","10K"
"R62","0603R","17.78mm","37.465mm","17.78mm","37.465mm","18.6055mm","37.465mm","T","180.00","10K"
"R80","0603R","25.452mm","36.449mm","25.452mm","36.449mm","25.452mm","37.2745mm","T","270.00","5.1K"
"R84","0603R","21.896mm","32.512mm","21.896mm","32.512mm","22.7215mm","32.512mm","T","180.00","4.7K"
"RL1","HF32F-12V","10.466mm","18.796mm","7.672mm","26.416mm","6.656mm","26.416mm","T","90.00","JQ1P-24V"
"RL2","HF32F-12V","21.3597mm","18.796mm","18.5658mm","26.416mm","17.5497mm","26.416mm","T","90.00","JQ1P-24V"
"SW1","SW1","39.93mm","47.752mm","39.919mm","43.4874mm","39.93mm","43.502mm","T","360.00","SW SPST"
"SW3","SW","35.485mm","47.494mm","35.4926mm","43.5002mm","35.485mm","43.494mm","T","90.00","°´¼ü"
"SW2","SW1","125.1404mm","54.367mm","129.794mm","54.356mm","129.0014mm","54.367mm","T","90.00","SW SPST"
"SW4","SW1","125.1404mm","58.939mm","129.794mm","58.928mm","129.0014mm","58.939mm","T","90.00","SW SPST"
"TVS5","3528TVS","114.0396mm","100.4548mm","114.046mm","98.679mm","114.0396mm","98.6768mm","T","270.00","BA301N"
"TVS7","3528TVS","120.194mm","101.727mm","118.4182mm","101.7206mm","118.416mm","101.727mm","T","180.00","BA301N"
"TVS6","3528TVS","61.901mm","100.965mm","60.1252mm","100.9586mm","60.123mm","100.965mm","T","180.00","BA301N"
"TVS10","3528TVS","134.8676mm","100.7088mm","134.874mm","98.933mm","134.8676mm","98.9308mm","T","270.00","BA301N"
