"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"UG4","DIP-4","235.6568mm","66.9145mm","240.2134mm","65.6369mm","240.2288mm","65.6445mm","T","270.00","PS2501L-1"
"UG3","DIP-4","235.6568mm","61.3908mm","240.2134mm","60.1132mm","240.2288mm","60.1208mm","T","270.00","PS2501L-1"
"UG2","DIP-4","235.6568mm","55.8671mm","240.2134mm","54.5895mm","240.2288mm","54.5971mm","T","270.00","PS2501L-1"
"UG1","DIP-4","235.6568mm","50.3435mm","240.2134mm","49.0659mm","240.2288mm","49.0735mm","T","270.00","PS2501L-1"
"RL9","HF32F-12V","67.4059mm","19.2852mm","64.6119mm","26.9052mm","63.5959mm","26.9052mm","T","90.00","JQ1P-24V"
"RL7","HF32F-12V","113.14mm","19.3106mm","110.346mm","26.9306mm","109.33mm","26.9306mm","T","90.00","JQ1P-24V"
"RL5","HF32F-12V","56.0295mm","19.2852mm","53.2355mm","26.9052mm","52.2195mm","26.9052mm","T","90.00","JQ1P-24V"
"RL8","HF32F-12V","44.5516mm","19.2852mm","41.7576mm","26.9052mm","40.7416mm","26.9052mm","T","90.00","JQ1P-24V"
"RL6","HF32F-12V","101.5096mm","19.3106mm","98.7156mm","26.9306mm","97.6996mm","26.9306mm","T","90.00","JQ1P-24V"
"RL2","HF32F-12V","90.1332mm","19.2852mm","87.3393mm","26.9052mm","86.3232mm","26.9052mm","T","90.00","JQ1P-24V"
"R125","0603R","67.7728mm","32.6202mm","67.7728mm","32.6202mm","68.5983mm","32.6202mm","T","180.00","4.7K"
"R123","0603R","71.2018mm","37.0652mm","71.2018mm","37.0652mm","71.2018mm","37.8907mm","T","270.00","5.1K"
"R121","0603R","63.7088mm","38.7162mm","63.7088mm","38.7162mm","64.5343mm","38.7162mm","T","180.00","10K"
"R108","0603R","113.6198mm","33.0266mm","113.6198mm","33.0266mm","114.4453mm","33.0266mm","T","180.00","4.7K"
"R107","0603R","56.6857mm","33.0012mm","56.6857mm","33.0012mm","57.5112mm","33.0012mm","T","180.00","4.7K"
"R126","0603R","125.2559mm","33.0012mm","125.2559mm","33.0012mm","126.0814mm","33.0012mm","T","180.00","4.7K"
"R100","0603R","117.0488mm","37.4716mm","117.0488mm","37.4716mm","117.0488mm","38.2971mm","T","270.00","5.1K"
"R124","0603R","128.5804mm","36.9382mm","128.5804mm","36.9382mm","128.5804mm","37.7637mm","T","270.00","5.1K"
"R98","0603R","59.9242mm","36.9382mm","59.9242mm","36.9382mm","59.9242mm","37.7637mm","T","270.00","5.1K"
"R122","0603R","120.8334mm","38.9702mm","120.8334mm","38.9702mm","121.6589mm","38.9702mm","T","180.00","10K"
"R95","0603R","109.8098mm","38.8686mm","109.8098mm","38.8686mm","110.6353mm","38.8686mm","T","180.00","10K"
"R93","0603R","52.6852mm","38.8432mm","52.6852mm","38.8432mm","53.5107mm","38.8432mm","T","180.00","10K"
"R111","0603R","45.243mm","33.0012mm","45.243mm","33.0012mm","46.0685mm","33.0012mm","T","180.00","4.7K"
"R85","0603R","90.1756mm","33.0012mm","90.1756mm","33.0012mm","91.0011mm","33.0012mm","T","180.00","4.7K"
"R106","0603R","101.9612mm","33.0266mm","101.9612mm","33.0266mm","102.7867mm","33.0266mm","T","180.00","4.7K"
"R102","0603R","48.545mm","36.9382mm","48.545mm","36.9382mm","48.545mm","37.7637mm","T","270.00","5.1K"
"R99","0603R","105.2632mm","36.9636mm","105.2632mm","36.9636mm","105.2632mm","37.7891mm","T","270.00","5.1K"
"R79","0603R","93.8586mm","37.0652mm","93.8586mm","37.0652mm","93.8586mm","37.8907mm","T","270.00","5.1K"
"R94","0603R","98.0242mm","38.9956mm","98.0242mm","38.9956mm","98.8497mm","38.9956mm","T","180.00","10K"
"R61","0603R","86.3656mm","38.7162mm","86.3656mm","38.7162mm","87.1911mm","38.7162mm","T","180.00","10K"
"Q11","SOT23","67.383mm","36.1001mm","68.4078mm","35.1602mm","68.399mm","35.1476mm","T","90.00","8050"
"Q9","SOT23","113.6198mm","36.7731mm","114.6447mm","35.8331mm","114.6358mm","35.8206mm","T","90.00","8050"
"Q12","SOT23","125.5324mm","36.7985mm","126.5573mm","35.8585mm","126.5484mm","35.846mm","T","90.00","8050"
"Q7","SOT23","56.4952mm","35.9095mm","57.5201mm","34.9695mm","57.5112mm","34.957mm","T","90.00","8050"
"Q10","SOT23","45.116mm","35.8587mm","46.1409mm","34.9187mm","46.132mm","34.9062mm","T","90.00","8050"
"Q8","SOT23","101.8342mm","36.4429mm","102.8591mm","35.5029mm","102.8502mm","35.4904mm","T","90.00","8050"
"Q4","SOT23","90.1756mm","36.3667mm","91.2005mm","35.4267mm","91.1916mm","35.4142mm","T","90.00","8050"
"LED10","D0805","63.5818mm","34.5252mm","63.5904mm","35.6704mm","63.5818mm","35.6682mm","T","0.00","GREEN"
"LED8","D0805","109.8098mm","34.5484mm","109.8184mm","35.6936mm","109.8098mm","35.6914mm","T","0.00","GREEN"
"LED11","D0805","121.2144mm","34.523mm","121.223mm","35.6682mm","121.2144mm","35.666mm","T","0.00","GREEN"
"LED6","D0805","52.4312mm","34.523mm","52.4398mm","35.6682mm","52.4312mm","35.666mm","T","0.00","GREEN"
"LED9","D0805","41.179mm","34.523mm","41.1876mm","35.6682mm","41.179mm","35.666mm","T","0.00","GREEN"
"LED7","D0805","98.0242mm","34.5484mm","98.0328mm","35.6936mm","98.0242mm","35.6914mm","T","0.00","GREEN"
"LED3","D0805","86.3656mm","34.523mm","86.3742mm","35.6682mm","86.3656mm","35.666mm","T","0.00","GREEN"
"D21","1206D","65.6138mm","30.2072mm","65.6138mm","30.2072mm","63.8993mm","30.2072mm","T","360.00","1N4007"
"D19","1206D","111.7783mm","30.2326mm","111.7783mm","30.2326mm","110.0638mm","30.2326mm","T","360.00","1N4007"
"D22","1206D","122.9924mm","30.2072mm","122.9924mm","30.2072mm","121.2779mm","30.2072mm","T","360.00","1N4007"
"D17","1206D","54.2092mm","30.2072mm","54.2092mm","30.2072mm","52.4947mm","30.2072mm","T","360.00","1N4007"
"D20","1206D","43.084mm","30.2072mm","43.084mm","30.2072mm","41.3695mm","30.2072mm","T","360.00","1N4007"
"D18","1206D","99.9292mm","30.2326mm","99.9292mm","30.2326mm","98.2147mm","30.2326mm","T","360.00","1N4007"
"D13","1206D","88.2706mm","30.2072mm","88.2706mm","30.2072mm","86.5561mm","30.2072mm","T","360.00","1N4007"
"C108","0603C","71.2018mm","33.6362mm","71.2018mm","33.6362mm","71.2018mm","32.8107mm","T","90.00","104"
"C106","0603C","71.2018mm","30.3342mm","71.2018mm","30.3342mm","71.2018mm","31.1597mm","T","270.00","104"
"C109","0603C","128.5804mm","33.6362mm","128.5804mm","33.6362mm","128.5804mm","32.8107mm","T","90.00","104"
"C89","0603C","117.0488mm","33.6616mm","117.0488mm","33.6616mm","117.0488mm","32.8361mm","T","90.00","104"
"C88","0603C","59.9242mm","33.6362mm","59.9242mm","33.6362mm","59.9242mm","34.4617mm","T","270.00","103"
"C85","0603C","117.0488mm","30.3596mm","117.0488mm","30.3596mm","117.0488mm","31.1851mm","T","270.00","104"
"C107","0603C","128.5804mm","30.3342mm","128.5804mm","30.3342mm","128.5804mm","31.1597mm","T","270.00","104"
"C79","0603C","59.9242mm","30.3342mm","59.9242mm","30.3342mm","59.9242mm","29.5087mm","T","90.00","104"
"C90","0603C","105.2632mm","33.6616mm","105.2632mm","33.6616mm","105.2632mm","32.8361mm","T","90.00","104"
"C91","0603C","48.545mm","33.6362mm","48.545mm","33.6362mm","48.545mm","32.8107mm","T","90.00","104"
"C67","0603C","93.8586mm","33.6362mm","93.8586mm","33.6362mm","93.8586mm","34.4617mm","T","270.00","103"
"C86","0603C","48.545mm","30.3342mm","48.545mm","30.3342mm","48.545mm","31.1597mm","T","270.00","104"
"C84","0603C","105.2632mm","30.3596mm","105.2632mm","30.3596mm","105.2632mm","31.1851mm","T","270.00","104"
"C50","0603C","93.8586mm","30.3342mm","93.8586mm","30.3342mm","93.8586mm","29.5087mm","T","90.00","104"
"C100","0603C","227.6602mm","99.9744mm","227.6602mm","99.9744mm","227.6602mm","99.1489mm","T","90.00","104"
"RL4","HF32F-12V","33.099mm","19.3106mm","30.305mm","26.9306mm","29.289mm","26.9306mm","T","90.00","JQ1P-24V"
"RL3","HF32F-12V","78.7315mm","19.2598mm","75.9375mm","26.8798mm","74.9215mm","26.8798mm","T","90.00","JQ1P-24V"
"RL1","HF32F-12V","21.7226mm","19.336mm","18.9286mm","26.956mm","17.9126mm","26.956mm","T","90.00","JQ1P-24V"
"R84","0603R","33.6352mm","33.0266mm","33.6352mm","33.0266mm","34.4607mm","33.0266mm","T","180.00","4.7K"
"R80","0603R","37.1912mm","36.9636mm","37.1912mm","36.9636mm","37.1912mm","37.7891mm","T","270.00","5.1K"
"R118","0603R","243.84mm","79.7814mm","243.84mm","79.7814mm","244.6655mm","79.7814mm","T","180.00","10K"
"R115","0603R","225.933mm","44.8818mm","225.933mm","44.8818mm","225.933mm","45.7073mm","T","270.00","10K"
"R114","0603R","226.0656mm","77.978mm","226.0656mm","77.978mm","226.0656mm","78.8035mm","T","270.00","10K"
"R62","0603R","29.8252mm","38.8686mm","29.8252mm","38.8686mm","30.6507mm","38.8686mm","T","180.00","10K"
"R96","0603R","41.306mm","38.7162mm","41.306mm","38.7162mm","42.1315mm","38.7162mm","T","180.00","10K"
"R82","0603R","79.2536mm","32.9758mm","79.2536mm","32.9758mm","80.0791mm","32.9758mm","T","180.00","4.7K"
"R78","0603R","82.5556mm","37.0398mm","82.5556mm","37.0398mm","82.5556mm","37.8653mm","T","270.00","5.1K"
"R63","0603R","74.9356mm","38.6908mm","74.9356mm","38.6908mm","75.7611mm","38.6908mm","T","180.00","10K"
"R72","0603R","244.0178mm","57.5564mm","244.0178mm","57.5564mm","244.8433mm","57.5564mm","T","180.00","10K"
"R67","0603R","225.933mm","55.9816mm","225.933mm","55.9816mm","225.933mm","56.8071mm","T","270.00","10K"
"R91","0603R","225.9584mm","61.5696mm","225.9584mm","61.5696mm","225.9584mm","62.3951mm","T","270.00","10K"
"R89","0603R","243.967mm","62.9158mm","243.967mm","62.9158mm","244.7925mm","62.9158mm","T","180.00","10K"
"R83","0603R","22.1036mm","33.052mm","22.1036mm","33.052mm","22.9291mm","33.052mm","T","180.00","4.7K"
"R77","0603R","25.5326mm","36.989mm","25.5326mm","36.989mm","25.5326mm","37.8145mm","T","270.00","5.1K"
"R92","0603R","226.0854mm","66.9036mm","226.0854mm","66.9036mm","226.0854mm","67.7291mm","T","270.00","10K"
