"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R44","R0603","60.706mm","75.565mm","60.706mm","75.565mm","59.8805mm","75.565mm","T","360.00","100R"
"R45","R0603","69.85mm","77.343mm","69.85mm","77.343mm","69.85mm","76.5175mm","T","90.00","10K"
"R91","R0603","23.876mm","53.594mm","23.876mm","53.594mm","23.0505mm","53.594mm","T","360.00","1.2K 1%"
"R92","R0603","60.706mm","77.47mm","60.706mm","77.47mm","61.5315mm","77.47mm","T","180.00","100R"
"R93","R0603","25.273mm","43.688mm","25.273mm","43.688mm","25.273mm","42.8625mm","T","90.00","2K"
"R94","R0603","23.368mm","47.117mm","23.368mm","47.117mm","23.368mm","47.9425mm","T","270.00","10K"
"R97","R0603","37.719mm","83.312mm","37.719mm","83.312mm","37.719mm","84.1375mm","T","270.00","10K"
"R98","R0603","31.0991mm","83.3753mm","31.0991mm","83.3753mm","31.0991mm","84.2008mm","T","270.00","22R"
"R99","R0603","39.2906mm","83.3753mm","39.2906mm","83.3753mm","39.2906mm","84.2008mm","T","270.00","22R"
"R100","R0603","36.0045mm","83.3753mm","36.0045mm","83.3753mm","36.0045mm","84.2008mm","T","270.00","22R"
"R103","R0603","61.595mm","87.884mm","61.595mm","87.884mm","60.7695mm","87.884mm","T","360.00","470R"
"R110","R0603","66.675mm","81.788mm","66.675mm","81.788mm","66.675mm","82.6135mm","T","270.00","10K"
"R114","R0603","66.675mm","85.471mm","66.675mm","85.471mm","66.675mm","84.6455mm","T","90.00","10K"
"T1","TXZ-GSM","18.9778mm","106.9877mm","16.51mm","104.521mm","16.5029mm","104.5128mm","T","45.00","MARK1.0"
"J13","SIM6-AUTO","34.546mm","99.8965mm","31.369mm","89.154mm","31.369mm","89.154mm","T","180.00","GPRS,UIM"
"MARKE3","IPEX","12.724mm","102.87mm","14.224mm","102.87mm","12.724mm","104.521mm","T","90.00","P1"
"J15","MC2716","30.4555mm","83.693mm","56.642mm","72.263mm","56.642mm","72.263mm","T","270.00","PCI-E"
"C73","0603C","83.312mm","32.385mm","83.312mm","32.385mm","83.312mm","31.5595mm","T","90.00","104"
"C74","0603C","93.726mm","32.512mm","93.726mm","32.512mm","93.726mm","33.3375mm","T","270.00","104"
"C75","0603C","104.013mm","32.639mm","104.013mm","32.639mm","104.013mm","33.4645mm","T","270.00","104"
"C76","0603C","114.935mm","32.385mm","114.935mm","32.385mm","114.935mm","31.5595mm","T","90.00","104"
"C77","0603C","83.312mm","35.814mm","83.312mm","35.814mm","83.312mm","34.9885mm","T","90.00","104"
"C78","0603C","93.726mm","35.941mm","93.726mm","35.941mm","93.726mm","36.7665mm","T","270.00","104"
